name,gender
جلنار,Female
جمال,Female
جمان,Female
جمرة,Female
جميلة,Female
جنان,Female
جهام,Female
جهيدة,Female
جهيرة,Female
جوائز,Female
جوداء,Female
جورية,Female
جوزات,Female
جوهرة,Female
جياد,Female
جيدا,Female
جيهان,Female
حادبة,Female
حازمة,Female
حاشدة,Female
حاضرة,Female
حافظة,Female
جالمة,Female
حبابة,Female
حبور,Female
حجلى,Female
حُسن,Female
حسناء,Female
حسينة,Female
حشماء,Female
حشود,Female
حصانة,Female
حصيفة,Female
حظوظ,Female
حفصة,Female
حفية,Female
حكاية,Female
حلا,Female
حلاوة,Female
حلوم,Female
حليمة,Female
حمامة,Female
حميدة,Female
حمية,Female
حنوف,Female
حنيفة,Female
حورية,Female
حياة,Female
حاتمة,Female
حادية,Female
حاسبة,Female
حاصنة,Female
حاضنة,Female
حاكمة,Female
حامدة,Female
حبقة,Female
حبيبة,Female
حدبا,Female
حسنى,Female
حسنة,Female
حسيبة,Female
حشمة,Female
حَصان,Female
حصة,Female
حصينة,Female
حفانة,Female
حفيظة,Female
حكايات,Female
حكيمة,Female
حلال,Female
حليمة,Female
حلو,Female
حليلة,Female
حمدة,Female
حميمة,Female
حنان,Female
حُنون,Female
حنية,Female
حياء,Female
حياتي,Female
خازمة,Female
خاشعة,Female
خاضعة,Female
خالدية,Female
خبيرة,Female
خجول,Female
خديجة,Female
خزانة,Female
خزيمي,Female
خصيبة,Female
خضرا,Female
خفر,Female
خلابة,Female
خليلة,Female
خمر,Female
خنساء,Female
خوخة,Female
خيار,Female
خيرة,Female
خيزران,Female
خاتمة,Female
خازنة,Female
خاشية,Female
خاطرة,Female
خالصة,Female
ختام,Female
خدوج,Female
خزامى,Female
خزنة,Female
خصاب,Female
خضاب,Female
خضرة,Female
خفيرة,Female
خلود,Female
خمائل,Female
خميلة,Female
خواطر,Female
خولة,Female
خيرات,Female
خيرية,Female
داجنة,Female
جارية,Female
دافئة,Female
دامالسرور,Female
دامالعز,Female
دانية,Female
دجى,Female
درداء,Female
درماء,Female
درر,Female
دعابة,Female
دعد,Female
دقيقة,Female
دلع,Female
دليلة,Female
دمية,Female
دنيا,Female
دؤوب,Female
دولت,Female
ديمة,Female
دائبة,Female
دارجة,Female
داعية,Female
دافعة,Female
دامالهنا,Female
دثار,Female
دجانة,Female
درقاء,Female
درة,Female
درية,Female
دعجاء,Female
دفاع,Female
دلاعة,Female
دلوعة,Female
دمثاء,Female
دنانير,Female
دُهيما,Female
دوحة,Female
ديانة,Female
دينة,Female
ذائعة,Female
ذاخرة,Female
ذاكية,Female
ذراع,Female
ذُكاء,Female
ذكرى,Female
ذلفا,Female
ذمة,Female
ذائدة,Female
ذائعة,Female
ذاكرة,Female
ذرى,Female
ذروة,Female
ذَكاء,Female
ذكية,Female
ذمام,Female
ذهنية,Female
رائدة,Female
رائعة,Female
رابعة,Female
راتبة,Female
راجحة,Female
راحبة,Female
رادة,Female
رادفة,Female
رازنة,Female
راسخة,Female
راشدة,Female
راعية,Female
راغدة,Female
رافعة,Female
رافعة,Female
رامزة,Female
رانية,Female
راوية,Female
راية,Female
رباب,Female
ربحية,Female
ربعة,Female
رتيبة,Female
رحاب,Female
رحمة,Female
رُخاء,Female
رخيمة,Female
رُدينة,Female
رزان,Female
رسمية,Female
رشا,Female
رشدية,Female
رشيقة,Female
رصينة,Female
رضاب,Female
رُطب,Female
رعاية,Female
رغباء,Female
رغداء,Female
رغيدة,Female
رفاه,Female
رفعة,Female
رفيقة,Female
رُلى,Female
رمثة,Female
رمزية,Female
رمضاء,Female
رنيم,Female
رهان,Female
رهيفة,Female
رِوى,Female
رواية,Female
روضة,Female
رويدا,Female
روية,Female
رياض,Female
ريحانة,Female
ريعة,Female
ريما,Female
ريا,Female
رية,Female
رؤى,Female
رئال,Female
رابحة,Female
رابية,Female
راتعة,Female
راجية,Female
راحمة,Female
رادعة,Female
رازقية,Female
رازية,Female
راسمة,Female
راضية,Female
راغبة,Female
رافدة,Female
رافلة,Female
راقية,Female
رامشة,Female
راهبة,Female
رايات,Female
رُبى,Female
رُبانة,Female
رباء,Female
ربيعة,Female
رجاء,Female
رحبة,Female
رحيمة,Female
رَخاء,Female
رداح,Female
رذاذ,Female
رسالة,Female
رسيمة,Female
رشدة,Female
رشيدة,Female
رصان,Female
رضا,Female
رضية,Female
رطيبة,Female
رغاب,Female
رغبة,Female
رغدة,Female
رفا,Female
رفيدة,Female
رفيعة,Female
رقيقة,Female
رمانة,Female
رمزة,Female
رنا,Female
رندة,Female
رهاب,Female
رهوة,Female
رُهيفة,Female
رواء,Female
رؤبة,Female
روعة,Female
رؤوم,Female
ريادة,Female
ريحان,Female
رَيدة,Female
ريم,Female
رَينة,Female
ريانة,Female
زاهرة,Female
زاهية,Female
زبرجد,Female
زرافة,Female
زغاريد,Female
زكية,Female
زُلفى,Female
زلوف,Female
زمرد,Female
زمزم,Female
زنبقة,Female
زَها,Female
زَهادة,Female
زهدية,Female
زهر,Female
زهرى,Female
زهيدة,Female
زهية,Female
زينب,Female
زينة,Female
زيان,Female
زاهدة,Female
زاهلة,Female
زَبّاء,Female
زبيدة,Female
زعيمة,Female
زكاء,Female
زلخا,Female
زلما,Female
زليخة,Female
زمردة,Female
زئبق,Female
زنوبيا,Female
زُها,Female
زهدانة,Female
زهراء,Female
الهوى,Female
زهور,Female
زُهيرة,Female
زيزفونة,Female
زينات,Female
زيان,Female
سابغة,Female
ساجدة,Female
ساحرة,Female
سارة,Female
ساعدة,Female
سافرة,Female
سالفة,Female
سالية,Female
سامرة,Female
سامية,Female
سبى,Female
سجوا,Female
سحاب,Female
سَحَر,Female
سخاء,Female
سَدى,Female
سريرة,Female
سِريَّة,Female
سعادات,Female
سعيدة,Female
سكر,Female
سُكَّرة,Female
سكينة,Female
سُلافة,Female
سلطانة,Female
سلّامة,Female
سلوى,Female
سَلوة,Female
سليمة,Female
سماح,Female
سمحة,Female
سميحة,Female
سميعة,Female
سُميّة,Female
سُميا,Female
سنا,Female
سناء,Female
سُهاد,Female
سُهيرة,Female
سُوسان,Female
سيسبان,Female
سيفانة,Female
سابقة,Female
ساترة,Female
ساجية,Female
ساحقة,Female
ساطعة,Female
ساعفة,Female
ساقية,Female
سالمة,Female
سامحة,Female
سامعة,Female
سانحة,Female
سجايا,Female
سجية,Female
سحابة,Female
سحيرة,Female
سخية,Female
سروة,Female
سريعة,Female
سعاد,Female
سَعفة,Female
سفارج,Female
سُكر,Female
سُكّرية,Female
سلافى,Female
سلامة,Female
سُلفة,Female
سلمى,Female
سلوانة,Female
سُليمى,Female
سما,Female
سماهر,Female
سَمَر,Female
سميرة,Female
سُميا,Female
سنى,Female
سهى,Female
سُهَير,Female
سُهيلة,Female
سَوسن,Female
سيسبانة,Female
سيماء,Female
شادية,Female
شارحة,Female
شافية,Female
شامخة,Female
شاهدة,Female
شاهقة,Female
شبك,Female
شدا,Female
شِراع,Female
شُرف,Female
شريفة,Female
شعلة,Female
شِفا,Female
شفيعة,Female
شكرانة,Female
شكيمة,Female
شماء,Female
شمردل,Female
شمسة,Female
شمِول,Female
شهامة,Female
شهدة,Female
شهيدة,Female
شهلا,Female
شهيمة,Female
شوقية,Female
شيماء,Female
شادن,Female
شاذية,Female
شارفة,Female
شاكرة,Female
شاملة,Female
شاهرة,Female
شبا,Female
شجية,Female
شذا,Female
شَرف,Female
شريعة,Female
شعاع,Female
شغلى,Female
شفعة,Female
شكران,Female
شكرية,Female
شلبية,Female
شمائل,Female
شمس,Female
شمعة,Female
شِهادة,Female
شهبا,Female
شَهربة,Female
شهيرة,Female
شهية,Female
شوق,Female
شيحة,Female
صائمة,Female
صابرة,Female
صاعدة,Female
صالحة,Female
صَبَا,Female
صبح,Female
صباحة,Female
صبحا,Female
صبرية,Female
صبور,Female
صحا,Female
صدوق,Female
صديقة,Female
صفا,Female
صفية,Female
صوى,Female
صيران,Female
صائبة,Female
صابحة,Female
صادقة,Female
صافية,Female
صبا,Female
صِبا,Female
صباح,Female
صبحَى,Female
صبحية,Female
صبوح,Female
صبيحة,Female
صحوة,Female
صديقة,Female
صراط,Female
صفوة,Female
صهبا,Female
صولة,Female
ضارعة,Female
ضامنة,Female
ضُحى,Female
ضحوك,Female
ضميمة,Female
ضيفة,Female
ضاحكة,Female
ضامرة,Female
ضاوية,Female
ضحوة,Female
ضرام,Female
ضياء,Female
طافية,Female
طامحة,Female
طرفاء,Female
طريفة,Female
طلى,Female
طلاب,Female
طلحة,Female
طهور,Female
طيوب,Female
طائعة,Female
طالبة,Female
طاهرة,Female
طروب,Female
طفلة,Female
طلا,Female
طلاوة,Female
طليحة,Female
طيبة,Female
ظاعنة,Female
ظبى,Female
ظبية,Female
ظُروف,Female
ظعينة,Female
ظفر,Female
ظلال,Female
ظهرية,Female
ظهيرة,Female
ظافرة,Female
ظاهرة,Female
ظَبا,Female
ظروف,Female
ظريفة,Female
ظِفار,Female
ظفرة,Female
ظليلة,Female
ظهور,Female
ظواهر,Female
عائشة,Female
عابرة,Female
عارفة,Female
عاطرة,Female
عاقلة,Female
عالمة,Female
عامرة,Female
عاهدة,Female
عبلا,Female
عبيدة,Female
عتاب,Female
عَدلية,Female
عديلة,Female
عرنة,Female
عروبة,Female
عرينة,Female
عزة,Female
عزمات,Female
عزيزة,Female
عصافير,Female
عصمة,Female
عطايا,Female
عطفة,Female
عطوف,Female
عطيَّة,Female
عفاف,Female
عفراء,Female
علالة,Female
علاّمة,Female
علياء,Female
علية,Female
عمشا,Female
عمرة,Female
عِناس,Female
عنبرة,Female
عناية,Female
عندلة,Female
عنم,Female
عُنابة,Female
عنوة,Female
عواطف,Female
عين,Female
عيناليقين,Female
عَيوف,Female
عائدة,Female
عابدة,Female
عاتكة,Female
عاصمة,Female
عاطفة,Female
عاكنة,Female
عالية,Female
عاملة,Female
عُبرة,Female
عبلة,Female
عبير,Female
عدلة,Female
عدوة,Female
عذبة,Female
عروب,Female
عروبة,Female
عروة,Female
عُزّى,Female
عِزة,Female
عزمة,Female
عشيرة,Female
عصفورة,Female
عطاف,Female
عطرية,Female
عطوة,Female
عطيات,Female
عفا,Female
عقيلة,Female
علامة,Female
علوة,Female
عليا,Female
عمامة,Female
عمشة,Female
عنادل,Female
عَنبر,Female
عنايات,Female
عِنَب,Female
عندليب,Female
عُناب,Female
عنيزة,Female
عهد,Female
عهود,Female
عيشة,Female
الحياة,Female
عَيوش,Female
عيينة,Female
غارسة,Female
غالبة,Female
غانية,Female
غِرار,Female
غرام,Female
غرسة,Female
غزل,Female
عزوة,Female
غفران,Female
غلامة,Female
غلواء,Female
غناء,Female
غُنوة,Female
غنية,Female
غيثاء,Female
غيد,Female
غيسانة,Female
غادة,Female
غازية,Female
غالية,Female
غاية,Female
غراس,Female
غرة,Female
غزالة,Female
غزلان,Female
غطْفا,Female
غلا,Female
غلفا,Female
غنى,Female
غندورة,Female
غنيمة,Female
غورة,Female
غياثة,Female
غيداء,Female
فؤادي,Female
فائقة,Female
فاتن,Female
فاخرة,Female
فارزة,Female
فارهة,Female
فاطمة,Female
فاكهة,Female
فاهمة,Female
فايدة,Female
فتاحة,Female
فتنة,Female
فتية,Female
فخار,Female
فخرية,Female
فدوى,Female
فراست,Female
فرح,Female
فَرْحانة,Female
فردوس,Female
فريال,Female
فريدة,Female
فريعة,Female
فصيحة,Female
فِضَّة,Female
فطانة,Female
فطنة,Female
فطيمة,Female
فكرة,Female
فَلَك,Female
فلفلة,Female
فنن,Female
فهيمة,Female
فوزة,Female
فوقية,Female
فيَّادة,Female
فائدة,Female
فائزة,Female
فاتكة,Female
فاتنة,Female
فادية,Female
فارعة,Female
فاضلة,Female
فاطم,Female
فالحة,Female
فايقة,Female
فتاة,Female
فَتْحية,Female
فتنات,Female
فجر,Female
فخامت,Female
فدى,Female
فُرات,Female
فُرجة,Female
فَرْحى,Female
فرحة,Female
فَرَّاجة,Female
فريحة,Female
فريزة,Female
فصاحة,Female
فضالة,Female
فضيلة,Female
فطمة,Female
فطوم,Female
فطينة,Female
فِكرية,Female
فُلة,Female
فَلَك,Female
فهدة,Female
فوز,Female
فوزية,Female
فيروز,Female
قابلة,Female
قادرة,Female
قانتة,Female
قدسية,Female
قريرة,Female
قسيمة,Female
قطام,Female
قمر,Female
فائدة,Female
قادرة,Female
قادرية,Female
قبساء,Female
قدوة,Female
قِسمة,Female
قطاف,Female
قطيفة,Female
قُمْريّة,Female
كائنة,Female
كاتمة,Female
كاظمة,Female
كاملة,Female
كتمان,Female
كتماء,Female
كرام,Female
كرم,Female
كردان,Female
كفا,Female
كلثوم,Female
كناري,Female
كُهيلة,Female
كوثر,Female
كيان,Female
كاتبة,Female
كاسبة,Female
كافلة,Female
كامية,Female
كتوم,Female
كحيلا,Female
كرامة,Female
كرمة,Female
كريمة,Female
كفاح,Female
كنار,Female
كنانة,Female
كواكب,Female
كوكب,Female
لائمة,Female
لامة,Female
لُباب,Female
لبلبة,Female
لبوة,Female
لحظة,Female
لطائف,Female
لطوف,Female
لطيفة,Female
لمحة,Female
لمعان,Female
لميا,Female
لميس,Female
لِوا,Female
لوزات,Female
لوعة,Female
لونة,Female
لويزة,Female
ليسا,Female
لينة,Female
لآلئ,Female
لابة,Female
لامعة,Female
لُبانة,Female
لبنى,Female
لبيبة,Female
لذيذة,Female
لطافة,Female
لُطفية,Female
لمى,Female
لمسة,Female
لمعة,Female
لمياء,Female
لنا,Female
لواحظ,Female
لوزة,Female
لؤلؤة,Female
لوامة,Female
ليثاء,Female
ليلى,Female
ليا,Female
مآثر,Female
مأثورة,Female
مادحة,Female
مازية,Female
ماضية,Female
مأمونة,Female
ماهرة,Female
مثال,Female
مبرة,Female
مجتبى,Female
محبوبة,Female
محسنة,Female
محمودة,Female
مخلصة,Female
مرادة,Female
مرادى,Female
مرجانة,Female
مرحى,Female
مرانة,Female
مرح,Female
مرشدة,Female
مرفت,Female
مرنان,Female
مروءة,Female
مريم,Female
مزدهى,Female
مزيدة,Female
مزية,Female
مستنار,Female
مُسيّرة,Female
مسرورة,Female
مسيْكة,Female
مشكاة,Female
مشمشة,Female
مضيئة,Female
مطيعة,Female
معاني,Female
مُعَزّز,Female
مُعينة,Female
مفضلة,Female
مفيدة,Female
مقبولة,Female
مقُدَّسة,Female
مكارم,Female
مكية,Female
مَلاذ,Female
ملاك,Female
ملك,Female
مليحة,Female
ممتازة,Female
مميز,Female
منار,Female
مناف,Female
منتزه,Female
منشدة,Female
منصورة,Female
منهج,Female
منيعة,Female
منيفة,Female
مهجة,Female
مهيبة,Female
موافية,Female
مودة,Female
موهبة,Female
مي,Female
ميالة,Female
مياسة,Female
ميّة,Female
ميسر,Female
ميسون,Female
مائسة,Female
ماثلة,Female
ماجدة,Female
مازنة,Female
ماسة,Female
مآل,Female
مانعة,Female
مبتغى,Female
مبروكة,Female
مثال,Female
محاسن,Female
محجوبة,Female
محفوظة,Female
مخدومة,Female
مديحة,Female
مرام,Female
مرايا,Female
مرجوة,Female
مرحة,Female
مرجانة,Female
مرزوقة,Female
مرغوبة,Female
مرمر,Female
مرهوبة,Female
مروة,Female
مزايا,Female
مزنة,Female
مزينة,Female
مستعينة,Female
مستهام,Female
مسرة,Female
مسيكة,Female
مشتهى,Female
مشكورة,Female
مشيرة,Female
مطلوبة,Female
مظلومة,Female
معزّة,Female
معزوزة,Female
مغاني,Female
مفلحة,Female
مقبلة,Female
مقدّس,Female
مقصودة,Female
مكرم,Female
ملاب,Female
ملاطف,Female
ملساء,Female
ملكة,Female
مُليكة,Female
ممدوحة,Female
منى,Female
مناصف,Female
مَنال,Female
منثورة,Female
منشودة,Female
منظومة,Female
منيبة,Female
منيرة,Female
مها,Female
مهدية,Female
موافقة,Female
موجودة,Female
موفقة,Female
موهوبة,Female
ميَّا,Female
ميادة,Female
ميسم,Female
ميساء,Female
ميسرة,Female
ميمونة,Female
نائدة,Female
نابغة,Female
ناجحة,Female
نادرة,Female
ناريمان,Female
ناشئة,Female
ناشطة,Female
ناصرة,Female
ناصفة,Female
ناظرة,Female
ناعمة,Female
نافحة,Female
نافعة,Female
نافية,Female
ناهد,Female
ناهضة,Female
ناهلة,Female
نايفة,Female
نباله,Female
نباه,Female
نبلة,Female
نبيلة,Female
نتيجة,Female
نجابة,Female
نجاة,Female
نجلا,Female
نجوى,Female
نجوة,Female
نجيحة,Female
نجيمة,Female
نخوة,Female
نداء,Female
نديدة,Female
ندية,Female
نردين,Female
نزهة,Female
نسار,Female
نسمات,Female
نسيبة,Female
نُسيكة,Female
نشامة,Female
نشوانة,Female
نشيدة,Female
نصيحة,Female
نَضار,Female
نظيمة,Female
نظيفة,Female
نُعمى,Female
نُعمة,Female
نعيمة,Female
نغمة,Female
نفل,Female
نقاوت,Female
نقية,Female
نمرة,Female
نهى,Female
نهاد,Female
نهايت,Female
نهلى,Female
نوار,Female
نوال,Female
نوَر,Female
نورالصباح,Female
نوره,Female
نورية,Female
نوفة,Female
نيروز,Female
نآد,Female
نائلة,Female
ناثرة,Female
ناجية,Female
نادية,Female
نازك,Female
ناشدة,Female
ناصحة,Female
ناصعة,Female
ناضرة,Female
ناظمة,Female
ناغية,Female
نافذة,Female
ناقلة.,Female
نامية,Female
ناهزة,Female
ناهل,Female
ناهية,Female
نبال,Female
نباهة,Female
نبراس,Female
نبوغ,Female
نبيهة,Female
نجا,Female
نجاح,Female
نجاد,Female
نجمة,Female
نجود,Female
نجيبة,Female
نجيدة,Female
نجية,Female
ندى,Female
ندرة,Female
نديمة,Female
نرجس,Female
نزاكة,Female
نزيهة,Female
نسرين,Female
نسمة,Female
نُسَيبة,Female
نُسيمة,Female
نشوى,Female
نشوة,Female
نشيطة,Female
نصيرة,Female
نظام,Female
نظيرة,Female
نَعم,Female
نعمة,Female
نعناعة,Female
نغم,Female
نفحة,Female
نفيسة,Female
نقايا,Female
نمراء,Female
نمساء,Female
نها,Female
نهال,Female
نهفة,Female
نهيدة,Female
نوارة,Female
نور,Female
نورالزمان,Female
نورالهدى,Female
نوره,Female
نوف,Female
نويره,Female
هاتفة,Female
هادية,Female
هاشمة,Female
هامسة,Female
هانية,Female
هتاف,Female
هدى,Female
هدايا,Female
هدبا,Female
هدلا,Female
هدية,Female
هفاف,Female
هلال,Female
همسة,Female
هناة,Female
هنادي,Female
هفوف,Female
هوى,Female
هوايا,Female
هوذة,Female
هويدة,Female
هيام,Female
هيبة,Female
هيفاء,Female
هيمانة,Female
هائلة,Female
هاجر,Female
هازجة,Female
هالة,Female
هامة,Female
هبة,Female
هتوف,Female
هداد,Female
هدايات,Female
هدراء,Female
هدنى,Female
هزار,Female
هلا,Female
همساء,Female
هناء,Female
هنادة,Female
هِند,Female
هنيدة,Female
هوادة,Female
هودة,Female
هونة,Female
هوينا,Female
هيبانة,Female
هيجمانة,Female
هيلمان,Female
وابلة,Female
واجدة,Female
وارفة,Female
واسلة,Female
واصبة,Female
واضحة,Female
وافرة,Female
وجدان,Female
وجُود,Female
وجيزة,Female
وحيدة,Female
وداد,Female
ودود,Female
وديعة,Female
وردية,Female
وسادة,Female
وسام,Female
وسن,Female
وسيلة,Female
وشاح,Female
وصفاء,Female
وصفية,Female
وضاء,Female
وضحة,Female
وطفاء,Female
وفاء,Female
وفاق,Female
وفيرة,Female
وفية,Female
ولادة,Female
ولهى,Female
ولوع,Female
ونية,Female
وهيبة,Female
وئام,Female
واثقة,Female
وادعة,Female
وازعة,Female
واصلة,Female
واصفة,Female
وافدة,Female
والهة,Female
وجدة,Female
وجيدة,Female
وجيهة,Female
وادع,Female
ودادة,Female
وديدة,Female
وردة,Female
ورود,Female
وساطة,Female
وسامة,Female
وسناء,Female
وسيمة,Female
وصال,Female
وصفه,Female
وصيفة,Female
وِضاح,Female
وضوح,Female
وعد,Female
وفادة,Female
وفقيه,Female
وفيقة,Female
ولاء,Female
ولع,Female
ولهانة,Female
ولية,Female
وهاد,Female
وهية,Female
ياسمين,Female
ياقوتة,Female
يامنة,Female
يُسر,Female
يسرى,Female
يقظى,Female
يقظة,Female
يُمن,Female
ياسرة,Female
يافعة,Female
ياممة,Female
يسارة,Female
يُسر,Female
يُسراء,Female
يقظانة,Female
يمامة,Female
يُمنى,Female
آدم,Male
آسر,Male
أبد,Male
أبدع,Male
أبره,Male
أبسل,Male
أبسم,Male
أبشر,Male
أبلج,Male
أبي,Male
أجاد,Male
أجزل,Male
أجمل,Male
أجوب,Male
أجود,Male
أحسب,Male
أحسن,Male
أحشم,Male
أحمد,Male
أحيد,Male
أخزم,Male
أخير,Male
أخيل,Male
أُدد,Male
أدرد,Male
أدرم,Male
أدغم,Male
أدلم,Male
أدهم,Male
أديب,Male
أربد,Male
أرجح,Male
أرجوان,Male
أرحب,Male
أرحم,Male
أرسلان,Male
أرشد,Male
أرغد,Male
أرقم,Male
أركان,Male
أريج,Male
أزهد,Male
أزهر,Male
أسامة,Male
أسد,Male
أسعد,Male
أسلع,Male
أسلم,Male
أسمح,Male
أسهم,Male
أسيد,Male
أشرف,Male
أشهم,Male
أصلان,Male
أعز,Male
أغلب,Male
أفخر,Male
أفخم,Male
أفصح,Male
أفضل,Male
أفقه,Male
أكثم,Male
أكرم,Male
